s1,s2,s3,s4,s5
71,73,76,75,74
77,77,75,71,74
73,74,77,74,75
70,76,78,77,75
76,75,71,77,78
70,71,73,77,77
78,73,71,71,72
71,75,72,72,73
70,76,78,76,74
75,76,75,78,72
72,73,70,70,78
77,72,70,76,72
70,75,73,76,74
72,73,71,74,78
76,72,70,71,72
71,74,77,74,72
71,77,70,74,71
74,74,74,78,72
77,73,77,78,77
74,75,75,72,73
76,75,71,72,72
73,78,72,72,71
74,76,78,78,75
76,75,73,71,75
74,78,74,72,73
72,73,72,77,77
71,74,77,70,72
70,71,74,72,70
75,70,73,76,75
75,71,71,74,72
71,71,74,74,73
71,78,71,72,74
71,71,71,71,73
77,75,76,72,77
73,72,75,73,76
73,77,72,71,75
77,77,77,77,72
76,72,70,72,72
71,74,75,76,70
71,74,76,76,72
75,72,75,73,74
74,70,71,73,78
70,70,71,70,72
73,76,73,78,72
70,70,73,74,75
72,73,75,72,78
70,73,77,76,71
78,74,78,75,78
74,73,78,76,74
74,76,75,75,76
74,70,70,75,76
72,72,75,73,76
73,74,77,71,78
78,74,72,71,77
77,76,76,70,78
72,78,70,71,78
76,77,70,72,73
75,70,77,73,71
77,73,71,75,70
72,77,74,73,76
73,77,77,76,70
76,77,77,72,73
77,70,71,75,78
71,75,77,75,75
77,76,70,76,77
75,71,71,70,71
72,77,73,76,78
71,76,77,73,75
77,78,72,77,72
70,75,73,77,72
74,74,71,72,74
72,77,73,76,78
75,71,72,75,78
76,73,74,70,76
78,75,78,77,73
77,74,75,77,73
75,74,75,74,71
78,75,76,74,75
74,72,71,71,72
75,74,73,74,71
70,78,75,71,72
78,71,70,78,70
78,74,71,73,73
76,78,76,77,73
75,74,70,70,70
71,71,71,70,73
77,77,72,74,75
76,74,73,76,71
75,73,73,77,75
78,74,77,75,76
71,72,76,73,78
78,76,76,77,70
77,78,78,77,71
70,70,70,76,77
75,73,72,71,75
71,70,77,78,72
71,74,77,78,72
74,72,71,70,72
70,72,77,71,78
75,77,75,71,77
70,74,76,75,72
73,74,77,73,76
78,72,78,77,78
76,78,75,71,72
75,70,77,77,76
70,73,74,71,78
76,75,76,71,73
72,77,71,71,76
70,70,72,74,74
76,72,72,74,76
75,70,74,74,78
74,70,70,74,78
71,72,72,78,75
77,71,77,76,78
71,72,74,74,70
70,71,78,73,70
76,70,71,74,70
71,77,72,72,77
72,77,70,78,76
70,77,78,71,71
71,76,71,70,70
72,72,71,72,75
76,77,71,77,72
78,75,74,78,71
77,71,74,78,71
71,77,74,72,72
74,72,71,78,74
71,70,76,73,71
77,78,70,74,74
78,75,70,76,74
74,75,70,72,72
73,75,78,74,74
75,76,73,76,75
72,74,73,78,76
74,78,71,75,70
72,70,77,75,78
72,77,74,71,77
76,75,78,72,76
72,78,73,75,72
70,78,71,77,72
75,72,75,78,70
75,72,74,77,73
73,71,71,76,78
75,70,70,76,73
71,78,76,76,71
75,72,74,73,77
78,77,74,73,76
76,74,75,77,73
76,75,78,73,75
74,74,72,73,78
74,71,76,78,74
77,74,73,73,70
77,72,71,73,75
77,78,71,71,77
71,71,70,71,70
71,70,77,74,72
78,70,74,74,74
78,72,71,71,71
71,76,74,70,77
76,75,78,78,74
78,70,77,72,70
71,76,70,75,74
77,70,77,76,72
78,74,70,77,77
73,77,71,74,75
70,75,77,75,76
74,74,76,70,72
71,71,71,70,74
78,74,77,73,77
76,73,75,75,72
72,74,72,76,72
74,71,72,71,75
72,77,77,75,75
74,72,78,74,75
70,76,75,78,70
74,71,70,76,75
71,70,73,78,70
70,78,73,75,74
75,76,74,74,77
71,71,78,77,75
78,78,78,70,77
73,77,71,75,70
72,78,74,78,70
77,76,72,75,75
74,75,75,75,74
72,77,70,74,74
77,78,73,75,74
77,74,72,78,78
74,77,75,71,76
76,70,76,74,73
77,75,77,78,75
73,71,74,73,78
71,71,75,76,71
76,76,76,78,71
72,75,76,75,72
75,70,70,74,78
74,74,71,75,73
74,70,74,77,72
71,75,76,78,70
76,71,78,74,73
72,76,72,73,76
71,71,70,70,76
71,78,70,70,71
72,78,78,73,77
72,70,74,76,76
78,73,78,75,71
76,72,70,77,72
75,77,70,70,76
76,70,71,74,70
78,77,70,75,72
71,78,70,72,72
75,72,77,72,76
73,75,76,78,78
72,78,77,72,78
70,78,76,74,76
78,75,71,72,70
71,73,70,71,78
73,77,73,70,76
78,72,70,74,78
77,76,70,71,77
74,76,76,71,76
77,70,74,70,74
72,70,73,78,76
71,71,72,72,77
71,74,75,74,76
76,73,77,70,74
77,71,72,75,74
77,72,70,73,78
75,76,77,72,71
75,73,74,75,70
70,75,75,71,78
71,77,76,71,71
74,74,71,75,75
78,76,73,73,78
78,70,70,74,75
72,77,70,70,72
76,76,74,72,74
76,74,78,74,71
71,70,75,76,74
75,78,72,73,74
76,76,75,73,78
76,72,78,74,76
73,71,75,77,73
74,70,76,73,73
73,71,75,77,72
70,74,75,78,74
72,75,75,71,76
75,71,74,74,76
70,73,78,75,72
73,75,76,73,76
74,76,74,78,73
70,76,74,77,71
70,71,75,77,75
78,71,73,73,73
75,73,78,71,75
75,74,73,71,76
71,70,71,74,74
72,78,71,73,76
78,70,71,72,74
77,72,78,72,74
73,73,70,71,71
78,77,75,74,71
72,73,76,76,77
78,71,75,77,75
74,70,77,74,74
72,74,78,75,76
76,77,77,77,71
73,71,72,71,74
70,71,71,71,71
77,74,76,72,75
75,75,76,74,76
70,71,72,77,72
75,70,72,73,70
77,75,78,71,78
71,78,71,70,70
71,75,72,73,75
72,77,75,78,76
76,73,71,71,74
73,73,70,70,75
72,75,78,74,76
72,78,77,77,78
76,76,70,76,77
75,77,73,78,76
78,78,70,75,72
76,72,73,74,70
78,72,78,77,76
76,78,78,72,75
76,71,75,78,78
73,77,74,75,73
76,72,72,75,77
72,71,71,71,77
77,72,75,76,75
74,74,74,76,70
75,76,71,78,71
74,74,78,74,71
70,75,76,73,72
70,70,76,73,77
72,77,74,76,75
78,78,77,77,71
74,72,75,76,74
72,73,71,78,76
70,78,71,77,72
74,71,72,78,74
73,71,75,77,74
76,73,70,71,77
75,75,71,76,76
71,73,74,77,73
77,71,77,74,77
75,71,77,74,70
77,72,78,77,76
72,73,75,78,75
75,72,76,76,70
73,73,74,78,72
78,73,78,74,73
77,76,75,74,78
71,77,76,77,73
75,71,71,76,70
76,73,70,74,73
76,73,77,77,72
77,71,71,75,77
77,72,76,78,73
70,73,78,75,71
77,72,77,73,73
73,70,72,71,72
74,71,73,77,77
78,75,70,70,73
78,74,75,73,77
70,76,72,76,73
71,75,76,71,73
74,76,72,70,75
74,70,76,71,76
76,77,71,72,76
72,78,73,72,77
70,71,73,75,73
70,77,73,75,73
72,73,76,72,74
78,78,74,72,75
78,77,70,73,75
71,75,78,78,70
75,73,73,78,73
70,70,72,70,76
75,75,75,71,73
75,76,71,71,74
70,76,78,76,75
77,75,75,76,75
73,72,77,75,77
76,77,70,75,73
78,72,73,72,77
74,76,70,76,71
73,72,78,78,75
73,73,77,71,74
73,74,77,72,78
77,77,75,78,76
71,72,72,77,70
77,71,78,75,72
71,70,70,75,77
78,73,78,72,75
74,73,77,78,70
77,73,72,77,70
74,71,78,74,74
77,76,78,78,72
74,73,75,76,78
76,71,77,73,78
75,76,73,70,73
70,77,70,75,77
73,78,76,78,77
70,75,73,76,75
72,78,77,75,71
70,76,75,75,73
78,77,77,74,71
70,70,74,74,72
76,71,70,78,76
72,70,77,75,77
72,76,74,70,76
71,72,77,78,74
74,72,77,72,71
70,77,72,70,71
77,75,72,77,70
71,70,74,74,73
76,77,74,78,75
77,75,71,72,72
73,76,70,78,78
70,75,73,72,71
74,78,77,74,71
78,72,75,74,73
77,72,77,78,74
74,75,78,78,75
74,76,78,73,77
74,78,72,75,77
76,76,70,78,73
74,70,72,77,76
77,74,78,73,76
77,77,70,73,71
77,75,70,73,78
71,71,73,72,76
73,72,73,75,75
75,74,76,75,70
70,77,78,71,72
72,74,72,76,73
70,73,77,71,72
73,73,72,72,77
72,73,74,72,76
74,77,77,75,76
77,78,70,77,75
77,73,70,74,74
77,71,78,72,71
77,70,75,76,74
70,72,77,77,70
72,78,78,74,78
71,75,77,71,78
71,77,74,75,71
73,70,70,77,77
70,74,78,78,77
71,74,74,75,73
73,78,73,76,71
71,75,76,75,73
71,71,73,72,77
70,72,72,78,70
78,72,76,77,73
78,72,70,75,77
74,73,70,74,76
77,78,71,73,76
78,78,78,71,75
76,73,70,71,72
71,77,70,72,71
73,73,76,70,77
71,75,70,72,70
72,77,78,75,73
72,75,75,77,76
70,74,73,73,78
75,71,77,70,78
78,74,72,73,73
70,77,72,76,77
78,78,74,75,78
76,70,77,75,77
70,72,77,71,73
71,73,76,74,75
71,73,75,75,74
70,72,72,78,72
78,75,74,73,74
70,72,78,72,73
76,74,78,72,74
72,77,71,70,77
76,77,78,76,70
74,77,72,70,72
74,71,76,74,71
78,74,76,78,73
70,77,72,74,71
75,73,77,78,72
75,72,75,75,71
70,77,75,74,72
70,73,74,73,71
72,77,72,76,72
76,72,71,78,71
78,70,73,75,71
76,74,75,76,71
74,77,71,71,70
74,74,78,77,72
74,73,70,75,77
73,70,76,76,74
77,70,73,70,74
72,73,75,76,76
73,70,72,72,74
76,74,72,70,78
72,74,77,78,71
78,72,75,70,70
70,72,72,70,76
73,77,76,76,73
76,72,76,75,70
73,76,71,77,78
70,74,78,73,77
76,77,76,74,73
74,70,72,78,71
72,77,75,75,77
71,70,76,78,75
78,75,76,70,71
77,72,74,75,71
71,77,78,71,78
74,74,71,74,70
77,75,77,75,75
74,74,72,71,70
73,77,72,73,73
78,77,74,75,73
73,74,71,76,72
75,71,72,75,70
72,73,73,72,78
76,78,74,74,72
71,73,72,75,72
71,70,73,73,78
78,72,70,76,76
76,76,73,73,72
76,76,75,74,74
78,75,70,74,77
71,71,72,76,72
75,74,73,72,70
74,71,77,74,75
73,74,72,70,76
74,70,77,70,73
78,70,75,72,76
78,77,71,72,77
78,72,71,75,70
71,75,73,74,74
70,77,70,74,75
78,73,77,75,71
74,78,74,78,71
74,71,75,74,75
78,73,74,74,73
75,75,77,73,74
71,76,72,77,74
71,77,77,78,70
70,74,76,73,78
75,73,73,77,76
75,71,76,77,74
74,73,77,72,71
75,73,72,78,74
73,78,77,73,76
72,75,77,75,76
78,70,75,75,77
72,76,70,74,72
74,78,78,76,70
78,75,77,70,71
73,73,76,75,73
78,76,74,71,72
71,77,75,74,78
75,70,78,76,72
76,76,78,74,72
70,74,72,74,72
72,78,70,75,74
73,70,70,77,78
78,71,76,71,74
75,78,75,70,77
72,75,71,76,71
72,78,72,76,75
73,74,74,77,71
77,74,76,72,71
75,70,72,75,71
76,71,71,71,74
72,70,77,76,74
70,77,75,75,73
72,78,72,73,75
70,77,73,70,76
75,76,73,76,73
70,77,75,71,77
74,71,72,71,75
71,78,78,72,70
75,78,70,70,77
74,70,75,71,70
72,77,73,73,75
75,71,76,70,78
72,74,70,70,71
73,76,77,76,74
75,73,72,76,74
74,74,72,78,70
73,73,71,72,76
72,71,74,75,72
74,70,78,74,75
76,70,74,78,76
76,74,78,77,71
78,71,70,77,71
75,78,72,76,70
78,74,77,76,78
78,78,75,70,74
76,75,78,75,77
78,73,73,70,76
77,73,72,71,74
71,77,76,70,74
75,74,77,76,77
74,71,78,72,77
75,77,75,76,78
72,76,72,71,75
78,74,74,72,72
74,76,72,72,73
77,71,72,70,75
72,72,76,73,77
75,78,72,74,76
75,77,74,73,76
70,76,70,77,75
72,72,78,74,71
71,78,70,73,74
74,75,74,76,78
71,76,77,72,77
74,71,75,73,77
74,77,72,73,70
78,71,70,72,74
78,78,78,76,78
70,78,76,70,70
72,70,70,77,71
75,75,76,70,78
74,78,74,75,76
74,73,73,72,72
71,72,73,72,77
73,71,75,73,73
70,77,71,72,76
72,71,78,75,77
78,76,75,77,75
75,72,76,76,71
75,76,78,71,75
72,76,72,75,70
74,78,73,75,70
73,77,70,73,78
73,74,72,78,77
76,74,75,73,76
78,71,70,70,70
62,65,64,67,64
68,62,63,62,66
61,68,63,60,61
62,66,63,64,68
67,65,61,60,65
64,67,60,64,65
63,67,66,63,67
67,66,62,65,60
61,61,62,63,65
60,65,62,62,62
60,64,61,65,62
60,67,65,64,63
61,63,66,67,60
61,60,60,68,66
64,62,60,63,67
61,62,60,63,66
62,61,68,62,66
65,62,66,64,62
66,67,62,64,63
66,64,68,67,63
61,61,60,64,61
68,63,62,64,67
60,67,63,67,64
65,64,66,65,63
63,60,62,60,62
61,61,68,62,63
65,64,67,61,61
64,62,64,68,67
61,66,62,60,67
64,67,67,66,61
62,68,62,65,67
65,63,67,60,67
65,64,67,66,65
60,60,66,63,65
61,68,66,60,65
67,66,63,64,62
67,65,66,64,63
67,61,62,60,61
63,65,67,68,68
64,60,66,64,61
63,62,61,68,62
61,61,67,60,63
64,64,68,67,63
66,62,63,62,68
66,68,61,63,64
63,66,68,65,67
66,67,65,64,65
64,64,66,62,68
63,64,68,60,65
65,63,67,68,66
64,60,66,64,60
63,63,67,61,61
63,61,61,67,64
66,67,62,62,67
60,66,65,64,67
63,61,65,68,66
66,68,62,64,68
63,61,66,67,68
62,65,63,67,62
68,62,64,62,68
60,68,68,66,63
61,61,68,60,65
62,65,64,60,68
61,62,62,68,63
61,60,64,67,68
68,64,63,60,63
65,64,66,63,64
64,65,65,61,60
60,64,68,60,61
65,61,60,60,68
67,67,67,67,62
67,65,64,63,60
60,61,62,61,60
66,60,61,66,64
62,67,61,67,63
63,68,65,61,67
61,61,60,65,64
61,62,67,62,60
63,60,66,62,60
64,65,63,62,65
68,65,60,63,62
60,63,60,61,62
64,65,68,60,67
63,68,65,63,62
62,63,60,64,65
65,68,63,60,65
66,65,61,60,60
61,61,60,60,61
61,68,63,60,60
68,61,62,64,60
64,67,65,68,60
65,62,60,62,67
66,61,67,68,64
65,66,61,64,67
67,62,60,64,60
67,65,64,63,66
67,60,60,67,62
60,60,67,63,63
60,67,68,60,61
63,64,62,62,66
66,61,68,61,61
67,64,68,61,67
64,61,66,64,68
62,65,64,67,60
61,60,60,62,62
68,61,66,68,65
63,67,64,61,66
63,63,65,62,67
62,63,66,66,65
60,63,64,64,60
66,67,68,62,68
61,62,61,65,68
62,68,60,63,62
66,65,67,63,64
68,63,63,65,62
61,61,63,68,67
64,64,64,64,65
63,68,61,66,61
64,65,64,64,64
66,64,63,65,63
61,66,60,67,67
66,65,66,64,65
67,66,65,62,65
61,64,63,66,62
62,64,61,65,66
63,65,61,62,65
61,63,68,61,60
61,62,62,66,62
63,67,65,68,67
63,63,63,66,64
64,66,65,65,62
61,65,61,61,61
60,66,61,63,61
67,67,62,64,67
61,63,61,67,65
63,67,67,65,62
61,62,63,66,64
63,65,60,68,66
66,65,67,62,68
66,61,62,61,61
61,64,65,63,63
66,66,63,68,63
61,61,68,61,61
62,67,68,66,67
67,65,63,68,67
62,60,63,63,60
63,62,68,61,62
64,60,60,63,66
66,64,64,61,68
67,65,66,65,61
64,60,68,65,62
60,60,68,63,61
64,66,65,65,67
63,68,66,64,63
61,62,61,64,60
64,66,66,66,60
63,65,67,66,61
67,67,60,66,62
68,64,61,67,65
68,67,61,67,63
67,65,65,61,68
62,67,64,61,61
66,64,63,64,67
66,66,63,65,64
62,68,62,61,66
65,61,65,65,64
63,67,68,62,62
63,65,67,64,60
65,64,61,64,61
64,63,66,62,65
64,61,67,67,64
64,61,63,68,61
62,67,68,60,65
62,64,68,68,68
62,65,62,60,68
67,66,60,60,65
66,65,66,60,66
60,68,63,66,65
60,61,65,67,67
62,60,65,62,61
62,63,61,63,65
62,68,65,63,64
68,62,61,64,67
62,65,63,67,66
63,67,68,67,62
62,61,68,63,67
61,61,64,62,62
62,61,65,63,66
65,66,63,61,64
62,65,67,65,68
65,62,62,65,68
68,67,65,65,68
62,61,66,67,65
62,64,60,64,63
61,64,67,61,60
68,64,66,64,62
65,62,68,60,63
67,61,62,60,60
61,64,60,67,60
67,61,65,63,66
68,63,61,61,61
66,68,68,63,63
68,64,67,66,66
63,67,62,63,65
66,63,62,62,63
64,66,66,68,61
63,64,66,60,65
60,66,63,67,60
63,63,68,60,68
64,68,66,63,67
68,66,62,61,61
64,67,62,65,67
67,67,67,60,60
68,64,60,68,66
61,67,68,63,63
65,60,67,67,66
62,61,63,60,60
64,66,63,61,60
62,61,65,66,63
61,68,64,67,64
66,67,63,60,68
66,60,65,61,62
65,67,62,66,62
66,68,67,64,65
63,63,67,65,65
67,63,63,62,61
62,61,60,62,62
60,64,67,66,63
61,62,68,63,60
63,66,65,64,60
61,68,63,67,60
61,62,68,61,67
63,62,64,61,62
66,60,62,63,63
60,65,65,67,62
64,60,65,68,64
60,67,67,68,64
65,65,62,64,63
63,63,67,67,65
65,68,64,68,61
68,66,68,66,62
68,67,63,65,64
66,62,62,64,64
65,66,64,67,61
64,66,60,61,62
68,62,60,62,67
62,63,62,62,62
61,62,66,60,64
60,60,62,62,60
60,62,64,64,64
64,61,62,62,63
62,61,64,60,63
61,64,65,64,63
61,61,66,63,60
64,64,62,65,66
68,67,64,64,64
65,61,63,63,66
67,68,64,64,65
62,60,60,66,67
66,63,68,67,68
61,60,63,62,61
63,64,60,65,67
67,66,62,63,61
65,65,63,66,67
61,61,66,65,64
63,65,64,61,60
62,64,64,63,65
68,67,67,63,67
63,64,64,64,64
64,60,67,66,66
68,67,60,61,65
65,64,64,60,65
65,64,62,65,65
65,67,64,61,62
64,65,62,66,67
62,68,62,67,61
66,64,67,61,63
66,66,66,61,60
64,68,60,65,60
64,60,63,62,66
62,63,66,63,63
67,65,67,62,61
63,66,62,63,66
61,60,65,66,68
64,66,67,61,61
66,60,64,66,60
64,68,65,66,65
66,68,66,68,63
61,66,61,63,62
64,62,67,65,64
68,64,63,68,61
67,60,62,68,60
60,61,66,65,62
68,62,67,62,60
66,61,60,62,64
60,60,65,68,62
62,63,68,68,60
66,65,66,63,68
63,63,62,61,61
60,65,60,66,62
67,61,66,60,66
65,61,67,68,64
60,62,68,63,66
63,68,64,64,64
63,62,66,64,68
68,64,67,61,68
68,66,60,65,68
60,62,62,66,60
64,62,61,67,62
61,66,64,65,61
64,68,65,64,66
63,61,66,60,64
67,65,60,68,63
68,66,66,62,67
60,62,61,63,66
61,66,63,67,60
68,66,60,64,68
65,66,62,66,64
67,67,62,68,68
68,64,66,65,66
60,62,68,68,60
65,62,67,61,66
67,60,64,60,62
61,63,68,64,61
65,68,65,63,60
62,64,65,62,66
60,65,63,62,67
63,68,67,65,66
65,63,66,67,68
61,66,66,64,64
61,65,65,60,64
68,66,64,63,66
65,62,61,63,66
65,66,62,60,64
65,63,66,62,60
61,64,61,62,67
64,60,64,61,64
64,68,66,67,63
65,65,64,61,68
60,62,63,65,67
61,65,67,60,66
60,64,62,63,63
62,64,60,65,68
63,63,68,63,62
66,66,68,64,65
61,65,60,60,61
64,67,60,66,68
62,64,68,67,67
66,65,68,60,61
61,64,61,68,66
67,68,64,67,60
66,67,68,65,64
61,66,66,66,67
68,65,62,67,62
64,63,68,64,68
68,66,65,62,67
64,65,64,60,68
68,60,67,62,62
63,68,65,60,60
67,63,62,63,60
64,62,67,60,61
63,68,63,62,67
63,66,67,67,61
64,68,63,60,65
63,64,65,67,64
67,68,64,64,67
60,63,64,67,62
68,63,61,67,66
65,65,66,68,62
67,65,64,68,64
67,60,63,68,68
60,68,63,64,61
68,66,65,66,68
66,60,65,62,60
62,62,64,62,62
68,65,61,67,61
67,65,61,68,63
67,66,60,68,68
65,66,65,66,63
61,62,64,64,68
68,60,63,68,62
64,66,67,68,65
62,64,67,61,63
62,60,64,66,60
60,67,65,65,67
68,65,66,63,65
61,66,63,67,64
60,61,61,67,65
63,66,63,65,65
64,61,65,66,63
63,62,62,60,62
68,67,67,67,68
66,65,65,65,65
66,64,67,64,65
62,65,61,61,61
62,68,61,68,62
67,68,60,60,64
68,60,67,60,63
67,60,67,66,60
62,66,63,67,66
61,61,64,66,60
68,66,66,64,66
63,67,60,63,61
66,63,64,67,63
65,66,60,60,65
64,64,63,62,68
63,60,66,63,63
61,68,66,63,65
66,67,68,66,68
64,64,68,68,66
63,67,61,68,66
62,67,62,61,64
67,60,63,68,66
63,60,68,64,65
68,61,65,66,60
66,68,67,68,63
62,66,68,63,66
65,65,62,61,66
62,62,62,67,62
68,61,68,62,65
63,63,63,65,66
64,62,68,65,62
64,65,60,61,67
61,67,63,68,60
62,61,67,64,64
61,66,61,61,63
60,62,64,67,66
63,60,63,68,66
60,67,62,62,64
64,63,68,63,60
66,61,63,67,66
68,66,68,60,62
64,65,64,68,68
68,64,66,62,68
63,68,62,60,62
66,64,66,60,67
66,65,61,66,68
60,60,61,63,65
60,62,67,68,65
63,67,68,66,68
60,64,60,68,64
66,66,60,68,64
60,65,64,68,61
64,63,60,61,65
61,66,62,61,67
64,60,66,60,67
68,66,65,68,65
68,60,65,65,62
66,62,63,67,66
67,67,67,60,65
64,66,65,66,60
61,64,64,66,60
65,64,61,67,68
63,63,68,67,62
64,63,67,68,68
61,63,68,64,67
65,61,61,63,65
64,63,62,68,60
64,62,66,62,62
66,60,68,67,63
66,65,60,63,66
61,64,67,64,64
67,68,68,64,60
61,61,67,64,65
61,67,63,63,61
62,68,66,66,61
61,62,61,62,63
68,63,68,64,67
65,68,60,66,66
64,62,62,65,63
64,65,67,60,62
68,63,64,68,65
65,68,62,63,63
64,68,67,65,63
60,60,68,66,62
62,67,66,67,68
65,66,66,63,62
60,65,68,65,61
62,68,66,62,68
64,61,62,60,65
63,66,68,60,65
68,64,63,63,64
66,61,65,65,66
64,67,62,63,61
60,63,65,67,65
64,66,62,64,68
63,68,63,66,68
65,66,64,67,60
62,61,67,61,67
60,68,64,67,65
60,62,66,66,62
67,65,66,60,63
66,64,65,60,66
68,64,63,68,65
68,63,64,65,62
67,61,61,64,67
62,67,63,65,63
68,68,66,60,68
60,62,60,60,63
60,65,64,63,66
61,61,64,61,66
63,61,65,68,68
66,68,61,66,66
65,66,68,61,62
61,62,67,65,63
64,62,61,66,64
63,63,65,61,64
62,61,65,67,64
60,67,66,66,65
65,67,65,62,60
60,68,60,63,63
67,62,60,64,60
64,65,67,66,61
63,62,61,63,64
67,63,66,64,63
65,63,66,66,66
62,64,64,62,66
66,64,62,67,61
63,64,68,66,60
67,66,60,64,64
66,67,65,61,60
60,64,60,67,67
60,62,65,63,64
61,60,67,62,67
60,63,60,68,60
61,67,65,64,67
66,68,66,61,67
67,61,61,63,67
67,64,68,66,60
67,66,61,65,64
64,66,62,62,61
67,62,68,66,66
68,60,65,66,66
62,64,67,65,66
67,60,61,65,64
67,64,64,61,65
64,66,61,66,60
68,62,61,68,68
61,65,60,61,62
65,65,63,68,63
64,62,67,66,63
64,63,61,61,61
63,60,60,60,65
64,63,67,63,66
62,62,65,66,60
65,68,64,67,64
68,62,65,62,63
61,64,60,63,64
67,68,65,61,60
65,65,63,68,66
62,63,68,62,63
68,62,67,64,68
63,64,61,62,63
62,64,65,67,62
61,65,64,67,65
60,67,61,61,63
60,67,67,63,65
64,65,63,66,62
61,66,64,63,65
67,68,61,66,61
67,68,62,64,61
63,60,60,62,61
63,68,67,60,65
62,68,60,67,65
62,60,64,64,64
60,66,68,61,66
66,65,61,64,63
61,66,63,63,66
65,63,60,65,67
63,65,67,62,64
64,67,65,66,66
67,65,66,66,60
65,67,61,61,68
67,64,61,63,61
67,61,64,65,68
68,65,63,61,63
63,65,65,65,68
63,60,60,63,68
62,61,68,60,65
64,64,66,65,64
67,63,63,62,67
61,67,67,60,61
60,60,62,63,65
62,63,67,64,60
60,61,60,63,65
64,60,65,67,64
65,62,60,62,66
60,65,60,62,61
62,63,61,61,62
65,64,67,62,65
61,62,63,66,60
66,63,61,60,67
68,62,61,63,63
66,60,65,61,67
68,62,60,68,60
66,64,63,62,65
60,65,68,61,62
61,68,61,62,63
63,67,60,64,67
64,67,61,65,62
68,67,65,67,68
61,68,68,62,61
68,61,60,67,60
68,64,65,62,64
64,60,60,67,68
65,60,64,66,63
60,61,60,64,60
60,65,66,63,66
62,67,66,62,66
62,66,64,65,67
66,66,60,62,61
63,68,63,63,60
60,68,67,65,63
62,67,62,67,68
62,68,66,60,62
66,61,64,62,67
60,64,64,67,63
64,64,61,64,62
68,61,67,67,61
65,66,61,68,67
62,68,66,67,65
64,67,65,61,63
61,67,67,68,65
62,60,65,61,61
64,66,68,60,65
62,65,68,66,64
66,68,67,66,60
61,62,61,62,67
61,64,62,67,66
64,67,68,60,60
61,68,63,67,65
64,66,67,67,63
67,60,63,68,66
61,61,67,68,65
63,67,68,67,64
67,60,68,60,66
67,68,61,65,66
63,60,60,63,61
62,68,67,64,68
62,63,63,67,65
66,64,61,61,64
61,60,66,62,68
67,67,66,68,67
68,61,64,64,60
63,65,62,62,67
62,67,67,63,60
62,60,65,63,65
65,60,63,64,66
61,66,65,67,68
65,63,65,63,67
61,64,61,67,61
68,62,60,61,67
67,66,66,62,62
65,66,63,64,61
64,66,63,67,67
67,61,65,68,64
68,63,61,61,63
68,61,64,65,68
68,68,62,61,63
68,60,65,67,62
63,65,66,68,60
63,62,60,68,64
67,60,62,68,67
62,65,68,65,62
62,60,65,62,68
64,62,64,68,68
60,61,64,63,68
60,68,65,64,62
68,68,60,64,67
68,65,66,66,68
68,60,66,66,68
63,65,62,61,61
63,64,68,65,66
65,62,61,64,62
68,60,61,60,64
65,60,67,64,66
68,61,60,67,61
61,67,64,64,60
62,60,60,65,62
61,65,64,63,63
61,68,64,62,65
68,61,65,61,60
68,68,67,67,65
61,62,61,67,66
65,61,60,68,66
63,67,61,67,61
67,65,62,64,63
63,66,60,66,68
62,67,64,60,68
63,60,61,62,61
61,68,67,68,63
62,62,66,60,62
66,66,61,66,65
66,62,67,64,63
61,66,68,60,68
65,63,60,61,68
67,65,67,64,61
67,64,66,61,63
67,66,61,67,66
65,66,62,64,68
61,66,64,63,62
63,64,63,60,68
67,63,65,65,61
68,60,68,66,62
67,62,68,62,65
66,61,62,65,63
66,62,64,64,60
67,65,67,64,60
67,62,63,61,61
62,67,63,66,60
66,60,67,60,60
64,61,66,63,60
68,60,67,68,65
60,63,61,61,61
63,68,64,61,62
63,61,62,68,65
66,65,61,60,63
68,62,66,60,60
63,60,68,62,63
64,61,68,61,65
68,63,60,62,61
67,64,61,66,66
66,67,66,66,60
60,68,68,60,66
61,68,60,66,63
60,61,67,63,64
68,60,65,66,65
63,67,61,68,63
67,61,66,60,63
62,63,65,62,65
65,65,65,68,60
62,60,63,61,64
67,62,67,62,60
63,62,65,65,68
64,66,66,67,61
61,63,61,63,60
68,63,61,61,62
67,60,67,68,60
65,63,63,67,63
63,62,62,68,65
68,67,66,60,64
64,61,67,65,67
68,61,60,63,60
68,67,67,68,65
67,66,66,66,64
65,66,65,63,68
62,64,64,61,63
62,67,62,62,64
61,63,65,62,60
64,60,60,61,63
64,66,63,66,61
61,62,65,65,61
62,64,67,68,67
68,68,61,60,63
64,67,66,61,62
62,68,67,65,63
67,65,67,64,63
62,61,61,66,61
62,65,66,65,62
66,64,64,65,61
67,63,66,68,64
68,60,64,67,61
65,65,67,64,68
63,65,61,65,67
61,68,65,68,64
63,61,66,64,66
61,64,67,65,64
65,63,68,61,61
67,60,66,60,60
63,60,63,63,67
67,64,66,64,61
63,67,62,64,60
63,65,66,65,66
64,63,68,66,66
64,65,66,60,63
65,68,65,62,68
62,65,68,66,68
61,60,60,66,65
60,62,61,68,65
60,64,60,62,68
60,60,61,65,67
62,60,60,63,67
63,68,60,68,68
65,63,65,61,63
62,63,64,62,64
63,68,65,63,67
60,62,60,67,67
66,66,63,64,61
60,65,64,62,67
68,62,60,62,63
61,64,65,64,63
60,66,62,63,66
67,61,64,65,62
64,66,62,64,61
68,63,66,67,66
